offer,accepted
"БИС выяснили, что современная инфляция, которая начала разгон с 2021 г. в наибольшей степени передаётся на домохозяйства через зарплаты, которые растут медлено, и через кредиты, которые выдаются по растущим ставкам. В меньшей степени - через рост цен на продукты. Ещё что больше всего сокращает доход стариков 56+","0,00"
"немецкий ifo второй месяц подряд повысил свой индекс по экспорту Германии - до -3,8 пунктов в ноябре после -6,3 пунктов в октябре и -10,8 пунктов в сентябре. Самые высокие ожидания по улучшению - в производстве еды и напитков (20,2 п), одежды (9,6 п), химии (2,8 п). Самые худшие ожидания - в производстве текстиля (-41,7 п), древесине (-23,2 п).","0,00"
"В МВФ сообщили, что для достижения цели по замедлению глобального потепления налоги на выбросы должны вырасти в 17 раз. По их расчётам, чтобы достигнуть таргетов Парижского соглашения 2015 г. (рост глобальной температуры только на 1,5-2°C к 2030), необходимо, что уровни выбросов CO2 к 2030 г. сократились на 25-50% в сравнении с 2019 г., но при текущих налогах на выбросы и субсидиях на топливо сокращение возможно только на 11%. На данный момент средний по миру налоговый сбор за тонну выбросов CO2 составляет всего $5, и для того, чтобы таргет в 2°C стал возможен, эта сумма должна возрасти до $85. Для достижения net-zero по выбросам к 2050 г. инвестиции в климат должны вырасти с уровня $0,9 трлн на 2020 г. до примерно $5 трлн в год к 2030 г. При этом из этих $5 трлн $2 трлн должны будут вкладывать развивающиеся страны ($1,2 трлн без учета Китая) - то есть, развивающиеся должны увеличить свои вложение более чем в 5 раз, с уровня в $370 млрд на 2020 г.","0,00"
"ЕЦБ предупредил о трех главных рисках для европейских банков. В «Обзоре финансовой стабильности», выходящей раз в два года, они указывают, что пока что банки еврозоны в целом остались в выигрыше от цикла повышения ставок, их рентабельность собственного капитала достигла 8,9% в 2023 г. - это самый высокий уровень за последние 15 лет. Тем не менее, три главных фактора могут привести к сокращению этого показателя в 2024-2025 гг.
Во-первых, у банков растут расходы на обслуживание их обязательств перед вкладчиками (депозитные счета), а также «структура их финансирования меняется от депозитов овернайт к более дорогим срочным депозитам или облигациям». «Высокая в настоящее время прибыльность банков, вероятно, окажется под давлением, поскольку стоимость их финансирования сравняется с процентными ставками», - пишут в ЕЦБ.
Во-вторых, качество банковских активов может значительно пострадать в связи с более высокой стоимостью жизни, более высокими расходы на обслуживание долга и ухудшением макроэкономической конъюнктуры.
В-третьих, высокие ставки по займам, низкий спрос на кредиты и более жесткие кредитные условия приведут к большому падению кредитных денег, что также ограничит возможности банков и ударит по их прибылям.","1,00"
"
У Европы тем временем внешняя торговля в профиците впервые за 2 года. По итогам III квартала он составил 18 млрд евро, в последний раз в положительной зоне торговый баланс фиксировали на уровне 6,9 млрд евро по итогам третьего квартала 2021 г. Прикол в том, что и импорт, и экспорт у них просели, но импорт упал почти в 4 раза сильнее экспорта. Так, экспорт упал на 1,2% кв/кв и составил 628,71 млрд евро, импорт - на 4,6%, 610,58 млрд евро.","0,00"
"В Британии ещё хотят урезать налог на наследство: с текущих 40% до 30-20%, существуют предположения, что его вообще упразднят. По итогу теряют 7 млрд фунтов в год поступлений в бюджет, создают дополнительное инфляционное давление и в реальности помогают только самым богатым слоям населения.","1,00"
"Полиция Лондона сообщила, что с 1 апреля этого года было повреждено или украдено коло 1000 ULEZ-камер из 2700 установленных - более трети. Эти камеры отслеживают машины с бензиновыми и дизельными двигателями, срок эксплуатации которых превышает 15 и 6 лет соответственно и облагает владельцев ежедневным сбором в 12,5 фунта. До конца лета 2023 г. зона ULEZ покрывала только Внутренний Лондон (3,8 млн чел), а с 1 августа была расширена до Большого Лондона (около 9 млн чел). Ежедневным сбором покрывается около 60 тыс транспортных средств. Уничтожение камер в основном связывают с группировкой, которая называет себя ""Бегущими по лезвию"" (Blade Runners). Эта история уже, в принципе, покрывалась раньше, но в ней как-то опускался один важный момент: по сути, весь этот сбор нацелен против беднейших слоёв населения. Допустим, какому-нибудь британцу Джо приходится ездить на работу каждый рабочий день на протяжении месяца - итого 20 дней. Зарабатывает он около 2000-3000 фунтов в месяц, и позволить себе даже подержанную машину ему сложно (дешевле 15000 фунтов такую хрен найдешь). Соответственно, на работу он ездит на колымаге, которую ловит ULEZ-камера. Теперь за каждый из 20 рабочих дней он должен отдавать правительству Лондона 12,5 фунтов - итого 250 фунтов в месяц. Не меньше 1000 фунтов ежемесячно у него уходит только на аренду жилья, плюс продуты, плюс налоги. В итоге ни о каком гибриде/электрокаре речи здесь даже не идет - с этим сбором покупка чего-то подобного становится тупо невозможной. Но получается, что Джо виноват, и должен за это платить - на протяжении неограниченного времени. В итоге под эгидой борьбы за экологию Лондон находит себе такой способ пополнять бюджет - грабим бедных, отдаём себе.","0,00"
"
В общем IIF посчитали, что глобальный долг (государственный ($88,1 трлн) + корпоративный ($161,1 трлн) + домохозяйств ($57,9 трлн)) достиг «ошеломляющих» $307 трлн по итогам 3-го квартала 2023 г. Из этой суммы $206 трлн приходится на развитые страны, $101,3 трлн – на развивающиеся. При этом объемы долгов развивающихся растут быстрее, чем у развитых: так, с $69,4 трлн в 2018 г. развивающиеся увеличили долги на $31,9 трлн, развитые – со $176,6 трлн на $29,4 трлн. В IFF опасаются, что к концу 2023 г. глобальный долг достигнет $310 трлн. Укзывают, что быстрее всего растут госзаймы. В развитых экономиках больше всего росли долги США, Японии, Франции и Великобритании, в развивающихся – в Китае, Индии, Бразилии, Мексике. 
В IIF в качестве большого риска указывают, что выборы в 2024 г. могут привести к приходу к власти популистов, что приведет к росту бюджетных расходов и будет дальше разгонять госзаимстовования. В результате глобальный долг государств будет расти на $5,3 трлн в год с 2024 по 2027 гг.","0,00"
"Morgan Stanley назвал три сценария развития ситуации в экономике Европы.
В базовом сценарии они ожидают, что на фоне жёсткой ДКП, которая давит на инвестиции, ВВП еврозоны покажет рост всего на 0,4% в 2023 г. и на 0,5% в 2024 г., давить также будут слабая демография и энергопереод, при этом к 2025 г. рост восстановится до 1%. На этом фоне инфляция будет стабильно сокращаться: в 2024 г. составит 2,4%, в 2025 г. - 2%. Соответственно, ЕЦБ будет понижать ставки - но не раньше июня, потому что они ещё будут наблюдать за ситуацией. Уже в июне 2024 г. они понизят ставки на 25 бп и продолжат понижать вплоть до 2% (депозитная) к сентябрю 2025 г.
В сценарии падения Китая они ожидают, что большой шок на рынке недвижимости КНР нанесёт большой удар по китайской экономике, вместе с этим будут падать китайские инвестиции и сокращаться товарооборот с Европой. Соответственно, у европейцев будут проблемы с экспортом (Лагард на одном из последних заседаний очень уповала на его восстановление), и, как результат, в 2024 г. рост экономики будет 0%, в 2025 г. - 0,6%. При этом и инфляция будет замедляться значительно быстрее: до 1,7% в 2024 г. и 1,6% в 2025 г. - ниже таргета. Соответственно, ЕЦБ будет ронять ставки более агрессивно: в июле 2024 г. снизят сразу на 50 бп, к марту 2025 г. до 2%, к сентябрю 2025 г. – до 1,25%.
В сценарии роста США эксперты допускают, что американская экономика не будет замедляться, как ожидается, и сохранит сильное потребление и инвестиции. Это будет разгонять инфляцию, которая составит 2,6% в 2024 г. и 2,5% в 2025 г. – ЕЦБ в таком случае будет повышать ставки, депозитная достигнет 4,5% в сентябре 2024 г., к 2025 г. сократится до 3,75%. ВВП при этом будет расти быстрее: 2,6% в 2024 и 2,5% в 2025","1,00"
"они ожидают, что ФРС будет понижать ставки уже с июня 2024 г.: ждут, что в июне снизят на 25 б.п., потом ещё три снижения на 25 бп до конца года. Далее будет 8 снижений по 25 бп в 2025 г. Вместе с этим будут снижаться ставки на гособлигации: так, к середине 2024 г. 10-летние трежи будут торговаться с дохдностью 4,20%, и уже к концу след года ставка по ним спустится до 3,7%. Мы при этом недавно писали, что США, возможно, не дотянули ставки, и им придётся не сбивать их вплоть до 2025 г. Судя по всему, Морган видит, что у них уже огромная проблема с бюджетным дефицитом, и они скоро будут пытаться как минимум сбить стоимость обслуживания долга.","1,00"
"""В США опасаются нового краха банков"". Всё в общем выглядит примерно так: после того, как ставки по американским госбондам достигли максимумов 2007 г., нереализованные убытки американских банков (в особенности BofA) достигли $650 млрд, и аналитики ожидают, что это может быть сигналом к тому, что грядёт новая волна банкротств. С другой стороны, это убытки нереализованные - то есть, в отличие от SVB, который начал продавать свои бонды и понёс реальные убытки в $1,8 млрд (из-за чего и пошёл отток депозитов), банки сейчас свои бумаги продавать не спешат - то есть, это не та же ситуация, что с SVB. При этом их Минфин активно накачивает деньгами Корпорацию по страхованию вкладов (FDIC) - данные, на которые ссылался Сусин, нашёл. То есть, нового краха банков они реально опасаются.","0,00"
" ""Коррупция убивает. Глобальные доказательства на основе стихийных бедствий"". Здесь они посчитали, на сколько в развивающихся странах увеличивается число жертв природных катаклизмов из-за нарушений требований к инфраструктуре (архитектура, системы оповещения), недостаточной медицинской поддержки и прочих последствий высокой коррупции. Они опираются на корупционный индекс Гида по международным страновым рискам (The International Country Rick Guide - ICRG), который может принимать значения от 0 пунктов (очень высокая коррупция) до 6 пунктов (коррупции нет). На основе данных по 135 странам в МВФ заключают, что рост индекса на 1% для средней развивающейся страны приводит к увеличению числа жертв катаклизмов на 2,5% в год. Добавляют также, что здесь ощутимую роль играет и фактор ВВП на душу населения: в странах где он выше (и где, соответственно, есть возможность создавать более прочную инфраструктуру) жертв катаклизмов, естественно, меньше - поэтому развитые страны страдают меньше.","1,00"
"В немецком IFO уверены, что экономика Германии уже достигла дна, и теперь будет только расти. Замдира Центра макроэкономики и исследований ifo и руководитель отдела прогнозов Тимо Вольмерсхойзер указывает, что на фоне падения немецкой экономики на 0,1% в III квартале индекс бизнес-климата ifo в октябре вырос впервые с апреля: с сентябрьских 85,8 пунктов до 86,9 пунктов. «Прогноз на ближайшие месяцы улучшился, компании оценивают свою текущую ситуацию как несколько улучшившуюся», говорит он. 
В качестве главного источника восстановления называется рост общей покупательной способности, ожидают, что уже к концу года условия торговли смягчатся до допандемийных уровней. Подчеркивают, что на фоне замедления инфляции реальные доходы населения растут быстрее цен. Восстановление спроса в наибольшей степени ощутит немецкая промышленность, в то время как строительная отрасль, наоборот, столкнется с сокращением. 
Основным риском для восстановления называют конфликт на Ближнем Востоке, так как он может привести к разгону цен на нефть, и тогда всем будет очень плохо.","0,00"
"Миллиардер-инвестор, основатель Duquesne Capital Стэнли Дракенмиллер сказал, что глава Минфина США Джанет Йеллен допустила грубейшую ошибку в истории ведомства: она не распорядилась выпускать больше гособлигаций до того момента, как ФРС начала поднимать ставку. «Все в Америке рефинансировали свои ипотеки, все компании расширяли свои долги … Но, к сожалению, была одна сущность, которая этого не делала, и это было Казначейство», говорит. Как он говорит, это стало одной из основных причин текущего долгового кризиса, и если ставки будут оставаться на текущем уровне, то расходы США на обслуживание госдолга могут достигнуть 4,5% ВВП в год к 2033 г. и 7% к 2043 г.","0,00"
"Рост цен в Еврозоне, согласно предварительным цифрам Eurostat : предварительная оценка гармонизированного показателя HICP составила в октябре 2.9% гг vs 4.3% гг и 5.2% гг двумя месяцами ранее. Помесячная динамика: 0.1% мм vs 0.3% мм. Базовый HICP: 5.0% гг vs 5.5% гг. Показатель CPI: 0.1% мм vs 0.3% мм, и 2.9% гг vs 4.3% гг (ждали 3.1%). Базовый CPI: 0.2% мм vs 0.2% мм, годовые темпы показателя: 4.2% гг vs 4.5% гг (прогноз: 4.2% гг) Среди стран наибольшие темпы сохраняются в Словакии (7.8% гг), Хорватии (6.7%), Словении (6.6% гг). Минимальный октябрьский HICP зафиксирован в Бельгии (-1.7% гг) и Нидерландах (-1.0% гг), где уже присутствует дефляция","1,00"
"Инвестиции в развивающиеся рынки сокращаются второй месяц подряд. Институт международных финансов (IIF) оценил отток портфельных вложений в $13,8 млрд, из которых: сокращение в акциях на $12 млрд и в облигациях на $1,8 млрд. «Недавние рыночные потрясения вокруг будущего курса денежно-кредитной политики наряду с повышением доходности суверенных облигаций оказали негативное влияние на показатели оттока средств нерезидентов на развивающихся рынках», пишут авторы доклада.  Они указывают, что ситуация может усугубиться, если ФРС будет сохранять агрессивную риторику. Сокращение инвестиций в развитые экономики в августе составило $15,5 млрд: падение вложений в акции на $21,5 млрд вместе с притоком вложений в облигации на $6 млрд.","1,00"
"Вчера вышел комбинированный доклад 10 международных банков развития о том, что они собрали на финансирование зеленой трансформации почти $100 млрд в 2022 г. $60,7 млрд собрали на поддержку слабо- и среднеразвитым экономикам, $38,8 млрд – на поддержку развитых экономик. ЕБРР, один из банков, пишет, что это рекорд. Собранные средства также оказались примерно в 1,5 раза больше таргета в $65 млрд, который банки поставили себе на 2025 г.","0,00"
"
Там ещё главный инвестстратег из Bank of America сегодня же сказал, что после сегодняшнего падения бонды устроят ралли и станут самым надёжным активом в первой половине 2024 г., когда в США наступит рецессия. И ещё в связи с последним американским властям придётся как можно скорее смягчать ДКП. ","0,00"
"МВФ проанализировали меры по поддержке экономики, которые европейские страны вводили у себя во время скачков цен на энергию в 2022 г. Они пишут, что если бы не было мер вроде налоговых вычетов, прямых выплат населению или льгот на пользование транспортом, то инфляция еврозоны достигла бы 13,7% в октябре 2022 г., но при этом к декабрю 2023 г. она уже была бы 1,7% - ниже таргета ЕЦБ. Сейчас при том, что меры вводились, к концу года инфляция будет только 2,8%. Это всё при условии, что не будет такого же скача цен на нефть-газ, как в конце 2022 г. (эксперты чаще говорят, что такого точно не повторится). В целом, МВФ пишут, что европейцам тупо повезло: благодаря тому, что была тёплая зима, им не пришлось держать эти энергомеры долго - в противном случае это потопило бы всю экономику еврозоны ещё дальше. Говорят, что за счёт этого энергомеры вряд ли стоит использовать на постоянной основе - слишком неочевидная история (тут можно экспертов, думаю, спросить о том, будут ли в ЕС делать что-то подобное в этом году).","0,00"
"Банк Англии увидел риски в распространяющемся использовании моделей глубокого обучения в финансовом секторе, предлагает подключать центробанки к процессу из внедрения. Они указывают, что сейчас такой ИИ активно используется в оценках кредитоспособности заёмщиков, выявлении мошенников и пр. Большая проблема здесь заключается в том, что принципы работы большинства таких моделей остаются по большей степени непонятными даже для финансиситов, которые с ними работают. Это может приводить к тому, например, что вполне нормальному заёмщику могут отказать в кредите на основе причин, понятных только самой модели. К тому же, здесь в любой момент может возникнуть предвзятость ИИ по умыслу разработчика. Англичане предлагают включить в процесс разработки и внедрения моделей центробанки: они должны будут его регулировать, вводить новые требования по использованию ИИ. Ну и, конечно, говорят, что разработчики должны будут делиться принципами работы своих моделей - вплоть до программного кода.","0,00"
"Рэй Далио, основатель и бывший управляющий крупнейшим в мире хедж-фондом Bridgewater, недавно заявил, что США находятся в начале долгового кризиса большого цикла. Концепция больших и малых долговых кризисов описывается в книге Рэя Далио Big Debt Crises. Малые кризисы — это обычные циклические экономические кризисы, происходящие раз в 7–10 лет. Для выхода из кризиса центробанк снижает ставки, а правительство увеличивает расходы. Резко увеличивается объем государственного долга. Кризис заканчивается, экономика снова растет.","1,00"
"Рейтер сегодня ещё написал, что разница в доходностях гособлигаций США и Китая достигла максимума с 2007 г. - в пользу американских трежерис.  Указывают, что на фоне вчерашнего снижения ставки НБК.","1,00"
"Экономика Нидерландов вступила в рецессию, поскольку во втором квартале она сократилась на 0,3% за квартал. Пятая по величине экономика еврозоны сокращается второй квартал подряд после сокращения на 0,4% в первый квартал,","0,00"
"Эксперты ЕЦБ выдвинули 4 сценария фрагментации мировой экономики. По их оценкам, перестройка цепочек поставок может в краткосрочной перспективе привести к падению глобального ВНП на 2,3-15,2%, ускорению инфляции на 2,3-12% и сокращению реального импорта на 9-44%. На долгосрочном горизонте мировые потери ВНП могут составить 0,7-3,7%, рост инфляции – 0,8-3,2%, падение реального импорта – 6-35%. 
Глубина падения зависит от того, как будет делиться мир (по блокам Запад-США/Восток-Китай или по зонам свободной торговли: USMCA, еврозона и пр.) и от того, на какие отрасли распространятся торговые ограничения (только стратегические или вообще все).
Примечательно, что самые болезненные по последствиям сценарии предполагают разделение стран на зоны свободной торговли. Это значит, что, например, если американцы дальше продолжат давить на Европу инициативами вроде IRA, а китайцы, к примеру, не смогут уладить отношения с Индией, это будет в разы хуже, чем если бы мы просто боролись условным Востоком против условного Запада.","1,00"
"В июле в Китае впервые за год была зафиксирована дефляция, цены в стране снизились на 0,3% в годовом выражении. Об этом сообщает Государственное статистическое управление (Госстат) республики.
Продукты питания подешевели на 1,7%, потребительские товары – на 1,3%. При этом цены на непродовольственные товары остались без изменений, а стоимость услуг выросла на 1,2%. При этом по сравнению с июнем в июле инфляция в стране составила 0,2%, отметили в Госстате.","1,00"
"Всемирный банк включил Россию в топ-5 экономик мира впереди Германии и всей Европы Всемирный банк обновил оценку ВВП стран мира на конец 2022 года. По оценкам организации, Россия оказалась в пятерке самых крупных экономик мира","1,00"
"ам ОЭСР пишет, что у ее стран инфляция упала до 5,7% в июне после 6,5% в мае. Особенно дропнулась энергетическая составляющая: -9,6% в июне после майских -5,2%. Базовая инфляция падает медленее - 6,6% после 6,9%.","0,00"
"Тут из Мудиса  deputy chief economist рассказал, что американцы с кредитами практически не почувствовали повышения ставок ФРС, потому что на момент первого квартала 2023 г. только 11,1% всех займов были с плавающими процентами (в кризис 2008 г. эта доля была выше 24%). Он при этом указал, что, по данным Equifax, 70% всех ипотечных кредтов имеют ставку ниже 4%.","0,00"
"Агентство Fitch приняло решение понизить долгосрочный кредитный рейтинг США на одну ступень, с ААА до АА+. Агентство сообщило, что понижение рейтинга связано с ""неуклонным ухудшением стандартов управления в течение последних 20 лет, ... нехваткой среднесрочной налогово-бюджетной базы, в отличие от большинства сопоставимых стран, ... способствовующими ""последовательному увеличению госдолга за последнее десятилетие"". Fitch отметило ""ограниченный прогресс в решении среднесрочных проблем, связанных с ростом расходов на социальное обеспечение и Medicare из-за старения населения"" и ждет роста дефицита госбюджета и ухудшения состояния бюджета в течение следующих трех лет.","1,00"
"Тут вчера ОЭСР выпустил бумагу, по которой бизнес из США на время освободится от глобального налога на прибыль в 15%. То есть, все европейские страны, как хорошие мальчики и девочки, примут эту штуку у себя в 2025 г., а американцы от неё освобождаются, пока не разберутся со своей внутренней историей (называется UTPR), которая, насколько я пока понимаю, может приводить к двойному налогообложению. А разбиратсья они с ней, похоже, не собираются до выборов 2024 г.","1,00"
"
Тут ЕЦБ пишет, что развитие и разработки ИИ могут провести к увеличению занятости, а не к росту безработицы, как боится весь мир. Они указывают, что в среднем за прошлое десятилетие внедрение самых первых технологий ИИ привело к общему увеличению числа занятых людей на 2,6-4,3%, и на 3,1-6,6% для высококвалифицированных специальностей.","0,00"
"ФРС боится «супербазовой» инфляции
Текущее замедление роста цен в США может прерваться, если будет сохраняться инфляция, не учитывающая энергию, продовольствие и цены на жилье – «супербазовая» инфляция. Об этом сообщили эксперты ФРС в докладе «Will a Cooler Labor Market Slow Supercore Inflation?». Охлаждение рынка труда, согласно наблюдениям американского регулятора, традиционно крайне слабо влияет на «супербазовую» инфляцию, цены на услуги растут вне зависимости от безработицы. В связи с этим борьба с инфляцией может потребовать более обширные меры по снижению спроса в экономике, опасаются в ФРС.","0,00"
"Сегодня ещё БИС вот такую вещь выкатил. Они говорят, что сейчас в мире существует 260 известных и ещё порядка 1,6 млн неизвестных вирусов, каждый из которых может вызвать новую пандемию, которая по масштабам может быть на уровне или даже сильнее того, что было в 2020-2021 гг. Они указывают, что с точки зрения производства вакцин мир сейчас не потянет этого – слишком мало. Они предлагают создать инфраструктуру (наподобие ВОЗ), при которой страны платят часть своих доходов от налогов на богатство (капитал или сверхзаработки) в общий глобальный фонд, который будет создавать вакцины для всех.
Соглашаются, что это приведет к снижению доходов бюджетов стран-участниц, а поэтому и к замедлению развития их инфраструктуры – в том числе из-за этого будет меньше производительность, зарплаты и проч. Но указывают, что такая структура в долгосрочной перспективе увеличит предложение рабочей силы и, разумеется, даст более мощную защиту от возможных пандемий.
Допускают, что дополнительный доход на богатство, из которого будут формироваться поступления в такой фонд, может составлять как минимум 2-3%.","1,00"
"Ещё одна вещь есть про влияние резких увеличений госдолга на ожидания инфляции. Для развивающихся стран резкое увеличение госдолга на 10% ВВП приводит к росту ожиданий по инфляции на 20 б.п. в течение года после скачка и на 70 б.п. на второй год после скачка. В то же время для развитых экономик такое увеличение госдолга практически никак не влияет на ожидания по инфляции.
Они отмечают, что ухудшения ожиданий гораздо глубже в развивающихся экономиках, в которых нет таргетирования инфляции. При этом по какой-то причине они находят, что для развитых экономик ожидания инфляции выше, если регулятор таргетирует инфляцию.","0,00"
"Вот такая ещё есть вещь – про влияние роста денежной массы (М3) на инфляцию. МВФ отмечает, что хотя точной и постоянной взаимосвязи между этими показателями научное сообщество пока очень-то видит, они обнаружили, что рост денежной массы сильнее ускоряет инфляцию, если она уже высокая. В то же время рост М3 почти никак не влияет на динамику цен, если инфляция низкая. Они также обнаруживают, что такая взаимосвязь гораздо сильнее для Европы (соответствие 0,95 – ещё уточняю, что это значит), чем для США (соответствие 0,64). То есть, если европейцы начнут выпускать больше бабок при высокой инфляции, им будет гораздо хуже, чем американцам.","0,00"
"Вот в этом докладе автор указывает, что миграция усиливает риски рецессии во время кризисов. Он отмечает, хотя у миграции есть положительные черты вроде снижения уровней безработицы и роста зарплат в странах-донорах, она также за последние годы стала уводить из них больше высококвалифицированной рабочей силы. Это, в свою очередь приводит к росту стоимости их труда, как следствие – к снижению предложения и общей экономической активности. Это только углубляет риски рецессии, хотя, по идее, миграция должна их снимать. 
На примере Греции в кризис 2010 г. показывает, что тогда массовая миграция привела к дополнительному снижению производства на 7%, снижению общего объема инвестиций на 15%, снижению потребления на 5%.","0,00"
"Президент конторы по анализу финрыков Yardeni Research, Inc. Эд Ярдени, ""ветеран рынка"", заявил, что старики спасут экономику США от рецессии. Он утверждает, что когда поколение бэйби-бумеров начнет выходить на пенсию, это даст американскому рынку дополнительные $75 трлн в потребительских тратах к 2029 г.- такие сбережения старпёры накопили в недвижке, финансовых активах, кэше и пр. Сбережения поколения Х и миллениалов, для сравнения, составляют 40 трлн и 8 трлн, соотвественно. Тонут в студенческих кредитах, говорит.","1,00"
"Тут ещё шеф-экономист МВФ сказала, что финансовым властям надо задуматься о взвращении к политике количественного смягчения: ""Затраты и выгоды от количественного смягчения (QE) также должны быть пересмотрены. Количественное смягчение, вероятно, останется важнейшим инструментом, если центральные банки столкнутся с такими обстоятельствами, как период после глобального финансового кризиса, когда безработица остается высокой, а инфляция низкой, даже несмотря на то, что процентные ставки достигли своего минимума""","0,00"
"МВФ пишут про введение электронной валюты центральных банков (CBDC). На основе азиатского опыта они приходят к выводу, что ключевую роль в этом процессе играют провайдеры услуг по переводам в электронных деньгах. Они создают у населения спрос на такие переводы, сводят покупателей и продавцов, что создает неплохие условия для введения CBDC. Но проблема в том, что на рыках е-мани очень часто возникают монополии или олигополии, потому что в руках небольшого числа игроков концентрируется огромные массивы данных о пользователях. Поэтому в Китае, например, 90% этого рынка занимают WeChat Pay (41%) и AliPay (49%). В связи с этим в МВФ утверждают, что для создания наиболее благоприятных условий введения CBDC центробанки должны непосредственно участвовать в создании бизнес-моделей для платежных провайдеров, а также собирать в собственную базу всю информацию о платежах - так, чтобы она была одинаково доступна всем участникам рынка.","1,00"
"Китайские застройщики предлагают гражданам слитки золота и по пять телефонов в дополнение к квартирам, чтобы поднять продажи","0,00"
"Ещё гендир ВТО в выступлении сообщила, что решоринг компаний и фрагмантация мировой экономики приведут к общемировым потерям в реализованных товарах и услугах в размере $31,4 трлн - грубо говоря, 30% мирового ВВП. Также это приведет к сокращению ВВП на 5% в долгосрочной перспективе. В качестве альтернативы этого она предлагает приступить к политике ""реглобализации"", основа которой будет заключаться в том, чтобы активнее подключать к международным торговым цепочкам периферийные экономики Африки, Латинской Америки и Азии.","0,00"
"Тут ещё BIS про спрос на госдолг пишет. Отмечают, что на фоне распространения политики количесвтенного ужесточения после ковида рост доходности гособлигаций на 1 п.п. в развитых странах в среднем приводит к увеличению спроса на 11,4%","0,00"
"Продовольственная инфляция выше 5% наблюдается в 70.6% беднейших стран, 81.4% стран с низкими-средними доходами и 84% стран средними-высокими доходами. Также продовольственная инфляция бушует в 80,4% развитых стран. Наиболее затронутые регионы: Африка, обе Америки, Южная и Центральная Азия, Европа.","0,00"
"
У британского Института фискальных исследований вышел подкаст, в котором они говорят о том, что число иммигронтов в Британию достигло рекорда в 600 тыс за 2022 г. Обсуждают экономические последствия этого","0,00"
"Банк международных рассчетов совместно с Банком Франции и немецким Бундесбанком выпустили доклад о системе ""Скачок"" (Leap), которая должна защитить банки от угрозы взлома при помощи квантовых компьютеров. Они пишут, что такие машины могут появиться уже через 10-15 лет, и к 2031 г. они станут реальной угрозой для банковской системы, так как они будут способны собирать и расшифровывать информацию по уже работающему приципу ""сначала сбор, потом расшифровка"".","1,00"
"Пишут, что ситуация на рынке жилья стильно увеличивает риски дефолта ряда развитых экономик.
В пандемию цены на жильё подскочили на фоне низких ставок, теперь эти цены падают, а ставки растут. Это значит, что стало очень плохо людям, которые в 2020-2021 гг. брали ипотеку с плавающими процентами: основной долг у них огромный, а проценты по нему растут (насколько я понял) – в среднем составляют 6,8%. Это сильно повышает риски неплатежей, особенно в странах, где закредитованность населения высокая. В МВФ пишут, что самые высокие риски дефолта в связи с этим у Канады, Австралии, Норвегии, Швеции, США.","1,00"